,Cenefas,Enlaces,id,Nombre,Other
45,213A00 - Br. Chicó Norte III Sector,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=45,213A00,Br. Chicó Norte III Sector,
46,213B00 - Br. Chicó Norte III Sector,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=46,213B00,Br. Chicó Norte III Sector,
47,213C00 - Br. Chicó Norte III Sector,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=47,213C00,Br. Chicó Norte III Sector,
48,215A00 - Colsanitas CL 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=48,215A00,Colsanitas CL 100,
49,215B00 - Colsanitas CL 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=49,215B00,Colsanitas CL 100,
50,215C00 - Colsanitas CL 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=50,215C00,Colsanitas CL 100,
51,216A00 - Universidad Militar Nueva Granada,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=51,216A00,Universidad Militar Nueva Granada,
52,216B00 - Universidad Militar Nueva Granada,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=52,216B00,Universidad Militar Nueva Granada,
53,369A07 - Br. Estación Central,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=59,369A07,Br. Estación Central,
54,370A07 - Estación Zona Industrial,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=60,370A07,Estación Zona Industrial,
55,712A00 - Estación San Façon - Cra. 22,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=56,712A00,Estación San Façon,Cra. 22
56,836A00 - Ferrocarriles Nacionales Estación de la Sabana,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=54,836A00,Ferrocarriles Nacionales Estación de la Sabana,
57,837A00 - Br.El Listón,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=55,837A00,Br.El Listón,
58,838A00 - Estación Ricaurte,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=57,838A00,Estación Ricaurte,
59,839A00 - Br. Paloquemao,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=58,839A00,Br. Paloquemao,
60,010A06 - Br. San Pablo Jericó,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=80,010A06,Br. San Pablo Jericó,
61,011A06 - Br. El Laurel,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=79,011A06,Br. El Laurel,
62,012A06 - Br. Santiago,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=78,012A06,Br. Santiago,
63,013A06 - Urb Portal Del Centenario,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=77,013A06,Urb Portal Del Centenario,
64,014A06 - Br. Barichara,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=75,014A06,Br. Barichara,
65,015A06 - C.C. Portal de La Sabana,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=76,015A06,C.C. Portal de La Sabana,
66,016A06 - Br. San Pedro,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=74,016A06,Br. San Pedro,
67,017A06 - Urb. Valparaíso,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=73,017A06,Urb. Valparaíso,
68,018B06 - Br. Prado Grande,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=72,018B06,Br. Prado Grande,
69,019A06 - Br. Ciudad Hayuelos,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=70,019A06,Br. Ciudad Hayuelos,
70,020A06 - Br. Ciudad Hayuelos,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=69,020A06,Br. Ciudad Hayuelos,
71,021A06 - Br. Montevideo,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=67,021A06,Br. Montevideo,
72,022A06 - Br. Granjas de Techo,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=66,022A06,Br. Granjas de Techo,
73,023A06 - Centro Industrial,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=65,023A06,Centro Industrial,
74,024A06 - Puente Aranda,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=64,024A06,Puente Aranda,
75,025A06 - Puente Aranda,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=63,025A06,Puente Aranda,
76,067A07 - Br. El Ejido,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=62,067A07,Br. El Ejido,
77,110A06 - Br. Franco,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=68,110A06,Br. Franco,
